support,itemsets
0.1,frozenset({'advocate'})
0.1,frozenset({'basic'})
0.1,frozenset({'brexit'})
0.1,frozenset({'comparative'})
0.1,frozenset({'comprehensive'})
0.1,frozenset({'court'})
0.1,frozenset({'discrimination'})
0.1,frozenset({'disintegration'})
0.2,frozenset({'economic'})
0.2,frozenset({'economics'})
0.1,frozenset({'essay'})
0.2,frozenset({'eu'})
0.1,frozenset({'europe'})
0.1,frozenset({'european'})
0.1,frozenset({'honoursstudenten'})
0.2,frozenset({'judicial'})
0.1,frozenset({'jurisdiction'})
0.5,frozenset({'law'})
0.1,frozenset({'lawmaking'})
0.3,frozenset({'lecture'})
0.1,frozenset({'legal'})
0.3,frozenset({'legislation'})
0.1,frozenset({'masterclass'})
0.1,frozenset({'masterclasses'})
0.1,frozenset({'methodology'})
0.1,frozenset({'oligopoly'})
0.1,frozenset({'pleading'})
0.1,frozenset({'practice'})
0.2,frozenset({'student'})
0.1,frozenset({'studenten'})
0.1,frozenset({'studentrechters'})
0.4,frozenset({'study'})
0.2,frozenset({'teaching'})
0.1,"frozenset({'advocate', 'court'})"
0.1,"frozenset({'advocate', 'pleading'})"
0.1,"frozenset({'advocate', 'practice'})"
0.1,"frozenset({'advocate', 'student'})"
0.1,"frozenset({'basic', 'jurisdiction'})"
0.1,"frozenset({'basic', 'law'})"
0.1,"frozenset({'lecture', 'basic'})"
0.1,"frozenset({'basic', 'teaching'})"
0.1,"frozenset({'brexit', 'disintegration'})"
0.1,"frozenset({'brexit', 'eu'})"
0.1,"frozenset({'brexit', 'europe'})"
0.1,"frozenset({'brexit', 'european'})"
0.1,"frozenset({'comparative', 'law'})"
0.1,"frozenset({'comparative', 'legal'})"
0.1,"frozenset({'legislation', 'comparative'})"
0.1,"frozenset({'comparative', 'study'})"
0.1,"frozenset({'eu', 'comprehensive'})"
0.1,"frozenset({'judicial', 'comprehensive'})"
0.1,"frozenset({'comprehensive', 'law'})"
0.1,"frozenset({'legislation', 'comprehensive'})"
0.1,"frozenset({'pleading', 'court'})"
0.1,"frozenset({'practice', 'court'})"
0.1,"frozenset({'student', 'court'})"
0.1,"frozenset({'discrimination', 'law'})"
0.1,"frozenset({'lawmaking', 'discrimination'})"
0.1,"frozenset({'lecture', 'discrimination'})"
0.1,"frozenset({'legislation', 'discrimination'})"
0.1,"frozenset({'disintegration', 'eu'})"
0.1,"frozenset({'disintegration', 'europe'})"
0.1,"frozenset({'european', 'disintegration'})"
0.2,"frozenset({'economics', 'economic'})"
0.1,"frozenset({'judicial', 'economic'})"
0.1,"frozenset({'law', 'economic'})"
0.1,"frozenset({'lecture', 'economic'})"
0.1,"frozenset({'oligopoly', 'economic'})"
0.2,"frozenset({'study', 'economic'})"
0.1,"frozenset({'economics', 'judicial'})"
0.1,"frozenset({'economics', 'law'})"
0.1,"frozenset({'economics', 'lecture'})"
0.1,"frozenset({'economics', 'oligopoly'})"
0.2,"frozenset({'economics', 'study'})"
0.1,"frozenset({'methodology', 'essay'})"
0.1,"frozenset({'essay', 'student'})"
0.1,"frozenset({'essay', 'study'})"
0.1,"frozenset({'essay', 'teaching'})"
0.1,"frozenset({'eu', 'europe'})"
0.1,"frozenset({'european', 'eu'})"
0.1,"frozenset({'eu', 'judicial'})"
0.1,"frozenset({'eu', 'law'})"
0.1,"frozenset({'legislation', 'eu'})"
0.1,"frozenset({'european', 'europe'})"
0.1,"frozenset({'honoursstudenten', 'masterclass'})"
0.1,"frozenset({'honoursstudenten', 'masterclasses'})"
0.1,"frozenset({'honoursstudenten', 'studenten'})"
0.1,"frozenset({'honoursstudenten', 'studentrechters'})"
0.2,"frozenset({'judicial', 'law'})"
0.1,"frozenset({'legislation', 'judicial'})"
0.1,"frozenset({'judicial', 'study'})"
0.1,"frozenset({'jurisdiction', 'law'})"
0.1,"frozenset({'lecture', 'jurisdiction'})"
0.1,"frozenset({'jurisdiction', 'teaching'})"
0.1,"frozenset({'lawmaking', 'law'})"
0.2,"frozenset({'lecture', 'law'})"
0.1,"frozenset({'legal', 'law'})"
0.3,"frozenset({'legislation', 'law'})"
0.2,"frozenset({'study', 'law'})"
0.1,"frozenset({'teaching', 'law'})"
0.1,"frozenset({'lawmaking', 'lecture'})"
0.1,"frozenset({'lawmaking', 'legislation'})"
0.1,"frozenset({'legislation', 'lecture'})"
0.1,"frozenset({'lecture', 'oligopoly'})"
0.1,"frozenset({'lecture', 'study'})"
0.1,"frozenset({'lecture', 'teaching'})"
0.1,"frozenset({'legislation', 'legal'})"
0.1,"frozenset({'study', 'legal'})"
0.1,"frozenset({'legislation', 'study'})"
0.1,"frozenset({'masterclasses', 'masterclass'})"
0.1,"frozenset({'studenten', 'masterclass'})"
0.1,"frozenset({'studentrechters', 'masterclass'})"
0.1,"frozenset({'masterclasses', 'studenten'})"
0.1,"frozenset({'masterclasses', 'studentrechters'})"
