support,itemsets
0.0660377358490566,frozenset({'arbitration'})
0.0660377358490566,frozenset({'competition'})
0.14150943396226415,frozenset({'court'})
0.16037735849056603,frozenset({'eu'})
0.0660377358490566,frozenset({'finance'})
0.09433962264150944,frozenset({'international'})
0.05660377358490566,frozenset({'judicial'})
0.19811320754716982,frozenset({'law'})
0.16037735849056603,frozenset({'lecture'})
0.07547169811320754,frozenset({'legislation'})
0.0660377358490566,frozenset({'mastertracks'})
0.0660377358490566,frozenset({'participate'})
0.1320754716981132,frozenset({'practice'})
0.07547169811320754,frozenset({'semester'})
0.0660377358490566,frozenset({'seminar'})
0.20754716981132076,frozenset({'student'})
0.1792452830188679,frozenset({'study'})
0.05660377358490566,frozenset({'tax'})
0.09433962264150944,frozenset({'thesis'})
0.0660377358490566,frozenset({'topic'})
0.10377358490566038,frozenset({'tribunal'})
0.0660377358490566,"frozenset({'eu', 'law'})"
0.0660377358490566,"frozenset({'lecture', 'mastertracks'})"
0.07547169811320754,"frozenset({'lecture', 'semester'})"
0.08490566037735849,"frozenset({'lecture', 'student'})"
0.05660377358490566,"frozenset({'lecture', 'study'})"
0.08490566037735849,"frozenset({'lecture', 'thesis'})"
0.0660377358490566,"frozenset({'semester', 'mastertracks'})"
0.0660377358490566,"frozenset({'student', 'mastertracks'})"
0.0660377358490566,"frozenset({'thesis', 'mastertracks'})"
0.0660377358490566,"frozenset({'student', 'semester'})"
0.0660377358490566,"frozenset({'thesis', 'semester'})"
0.0660377358490566,"frozenset({'student', 'thesis'})"
0.0660377358490566,"frozenset({'lecture', 'semester', 'mastertracks'})"
0.0660377358490566,"frozenset({'lecture', 'student', 'mastertracks'})"
0.0660377358490566,"frozenset({'lecture', 'thesis', 'mastertracks'})"
0.0660377358490566,"frozenset({'lecture', 'student', 'semester'})"
0.0660377358490566,"frozenset({'lecture', 'thesis', 'semester'})"
0.0660377358490566,"frozenset({'lecture', 'student', 'thesis'})"
0.0660377358490566,"frozenset({'student', 'semester', 'mastertracks'})"
0.0660377358490566,"frozenset({'thesis', 'semester', 'mastertracks'})"
0.0660377358490566,"frozenset({'student', 'thesis', 'mastertracks'})"
0.0660377358490566,"frozenset({'student', 'thesis', 'semester'})"
0.0660377358490566,"frozenset({'lecture', 'student', 'semester', 'mastertracks'})"
0.0660377358490566,"frozenset({'lecture', 'thesis', 'semester', 'mastertracks'})"
0.0660377358490566,"frozenset({'lecture', 'student', 'thesis', 'mastertracks'})"
0.0660377358490566,"frozenset({'lecture', 'student', 'thesis', 'semester'})"
0.0660377358490566,"frozenset({'student', 'thesis', 'semester', 'mastertracks'})"
0.0660377358490566,"frozenset({'lecture', 'semester', 'mastertracks', 'thesis', 'student'})"
