support,itemsets
0.06382978723404255,frozenset({'academic'})
0.1702127659574468,frozenset({'communication'})
0.06382978723404255,frozenset({'develop'})
0.06382978723404255,frozenset({'educational'})
0.10638297872340426,frozenset({'exam'})
0.06382978723404255,frozenset({'journalism'})
0.23404255319148937,frozenset({'lecture'})
0.10638297872340426,frozenset({'lecturer'})
0.06382978723404255,frozenset({'marketing'})
0.1276595744680851,frozenset({'persuasive'})
0.06382978723404255,frozenset({'political'})
0.0851063829787234,frozenset({'practice'})
0.2127659574468085,frozenset({'research'})
0.2553191489361702,frozenset({'student'})
0.46808510638297873,frozenset({'study'})
0.19148936170212766,frozenset({'teaching'})
0.06382978723404255,"frozenset({'lecture', 'communication'})"
0.0851063829787234,"frozenset({'communication', 'study'})"
0.06382978723404255,"frozenset({'political', 'journalism'})"
0.06382978723404255,"frozenset({'lecture', 'lecturer'})"
0.14893617021276595,"frozenset({'lecture', 'study'})"
0.0851063829787234,"frozenset({'lecture', 'teaching'})"
0.0851063829787234,"frozenset({'study', 'lecturer'})"
0.06382978723404255,"frozenset({'research', 'student'})"
0.10638297872340426,"frozenset({'research', 'study'})"
0.1702127659574468,"frozenset({'student', 'study'})"
0.14893617021276595,"frozenset({'teaching', 'study'})"
0.06382978723404255,"frozenset({'lecture', 'teaching', 'study'})"
