support,itemsets
0.05555555555555555,frozenset({'academic'})
0.0625,frozenset({'academically'})
0.06944444444444445,frozenset({'accounting'})
0.06944444444444445,frozenset({'develop'})
0.05555555555555555,frozenset({'entrepreneurial'})
0.08333333333333333,frozenset({'entrepreneurship'})
0.1388888888888889,frozenset({'finance'})
0.05555555555555555,frozenset({'financial'})
0.20833333333333334,frozenset({'lecture'})
0.20833333333333334,frozenset({'management'})
0.09722222222222222,frozenset({'managerial'})
0.09027777777777778,frozenset({'marketing'})
0.05555555555555555,frozenset({'methodology'})
0.10416666666666667,frozenset({'organisation'})
0.06944444444444445,frozenset({'organisational'})
0.1111111111111111,frozenset({'research'})
0.08333333333333333,frozenset({'seminar'})
0.1111111111111111,frozenset({'specialisation'})
0.05555555555555555,frozenset({'strategic'})
0.1388888888888889,frozenset({'student'})
0.20833333333333334,frozenset({'study'})
0.09722222222222222,frozenset({'teaching'})
0.2013888888888889,frozenset({'thesis'})
0.06944444444444445,frozenset({'topic'})
0.05555555555555555,frozenset({'workbook'})
0.0625,frozenset({'workshop'})
0.05555555555555555,"frozenset({'academically', 'managerial'})"
0.0625,"frozenset({'academically', 'specialisation'})"
0.0625,"frozenset({'academically', 'thesis'})"
0.0625,"frozenset({'organisation', 'management'})"
0.05555555555555555,"frozenset({'organisational', 'management'})"
0.05555555555555555,"frozenset({'specialisation', 'managerial'})"
0.05555555555555555,"frozenset({'thesis', 'managerial'})"
0.0625,"frozenset({'organisational', 'organisation'})"
0.05555555555555555,"frozenset({'research', 'student'})"
0.0763888888888889,"frozenset({'research', 'thesis'})"
0.10416666666666667,"frozenset({'thesis', 'specialisation'})"
0.06944444444444445,"frozenset({'student', 'thesis'})"
0.05555555555555555,"frozenset({'topic', 'student'})"
0.05555555555555555,"frozenset({'workbook', 'student'})"
0.05555555555555555,"frozenset({'topic', 'thesis'})"
0.05555555555555555,"frozenset({'workbook', 'thesis'})"
0.05555555555555555,"frozenset({'specialisation', 'academically', 'managerial'})"
0.05555555555555555,"frozenset({'academically', 'thesis', 'managerial'})"
0.0625,"frozenset({'academically', 'thesis', 'specialisation'})"
0.05555555555555555,"frozenset({'specialisation', 'thesis', 'managerial'})"
0.05555555555555555,"frozenset({'research', 'student', 'thesis'})"
0.05555555555555555,"frozenset({'topic', 'student', 'thesis'})"
0.05555555555555555,"frozenset({'workbook', 'student', 'thesis'})"
0.05555555555555555,"frozenset({'specialisation', 'academically', 'thesis', 'managerial'})"
