support,itemsets
0.08333333333333333,frozenset({'academic'})
0.08333333333333333,frozenset({'adolescence'})
0.125,frozenset({'adolescent'})
0.16666666666666666,frozenset({'assessment'})
0.125,frozenset({'develop'})
0.08333333333333333,frozenset({'development'})
0.25,frozenset({'developmental'})
0.08333333333333333,frozenset({'education'})
0.3333333333333333,frozenset({'educational'})
0.08333333333333333,frozenset({'intervention'})
0.08333333333333333,frozenset({'modelling'})
0.08333333333333333,frozenset({'parenting'})
0.20833333333333334,frozenset({'practice'})
0.16666666666666666,frozenset({'research'})
0.08333333333333333,frozenset({'researcher'})
0.16666666666666666,frozenset({'seminar'})
0.20833333333333334,frozenset({'student'})
0.3333333333333333,frozenset({'study'})
0.08333333333333333,frozenset({'supervision'})
0.20833333333333334,frozenset({'teaching'})
0.125,frozenset({'youth'})
0.08333333333333333,"frozenset({'adolescence', 'adolescent'})"
0.08333333333333333,"frozenset({'adolescence', 'developmental'})"
0.08333333333333333,"frozenset({'adolescent', 'developmental'})"
0.08333333333333333,"frozenset({'adolescent', 'youth'})"
0.08333333333333333,"frozenset({'developmental', 'assessment'})"
0.125,"frozenset({'study', 'assessment'})"
0.08333333333333333,"frozenset({'youth', 'assessment'})"
0.08333333333333333,"frozenset({'developmental', 'development'})"
0.08333333333333333,"frozenset({'youth', 'developmental'})"
0.08333333333333333,"frozenset({'educational', 'modelling'})"
0.08333333333333333,"frozenset({'student', 'educational'})"
0.125,"frozenset({'educational', 'study'})"
0.08333333333333333,"frozenset({'teaching', 'educational'})"
0.08333333333333333,"frozenset({'seminar', 'practice'})"
0.08333333333333333,"frozenset({'student', 'practice'})"
0.08333333333333333,"frozenset({'supervision', 'practice'})"
0.08333333333333333,"frozenset({'teaching', 'practice'})"
0.08333333333333333,"frozenset({'researcher', 'research'})"
0.125,"frozenset({'study', 'research'})"
0.08333333333333333,"frozenset({'researcher', 'study'})"
0.125,"frozenset({'teaching', 'seminar'})"
0.08333333333333333,"frozenset({'supervision', 'student'})"
0.125,"frozenset({'teaching', 'study'})"
0.08333333333333333,"frozenset({'adolescence', 'adolescent', 'developmental'})"
0.08333333333333333,"frozenset({'teaching', 'educational', 'study'})"
0.08333333333333333,"frozenset({'teaching', 'seminar', 'practice'})"
0.08333333333333333,"frozenset({'supervision', 'student', 'practice'})"
0.08333333333333333,"frozenset({'researcher', 'study', 'research'})"
