support,itemsets
0.21774193548387097,frozenset({'amsterdam'})
0.08870967741935484,frozenset({'basic'})
0.08064516129032258,frozenset({'computational'})
0.056451612903225805,frozenset({'curriculum'})
0.12096774193548387,frozenset({'learning'})
0.1774193548387097,frozenset({'lecture'})
0.22580645161290322,frozenset({'programming'})
0.21774193548387097,frozenset({'registration'})
0.0967741935483871,frozenset({'seminar'})
0.14516129032258066,frozenset({'student'})
0.1774193548387097,frozenset({'study'})
0.08870967741935484,frozenset({'syllabus'})
0.12903225806451613,frozenset({'teaching'})
0.08064516129032258,frozenset({'thesis'})
0.08064516129032258,frozenset({'training'})
0.21774193548387097,frozenset({'universiteit'})
0.21774193548387097,frozenset({'vrije'})
0.21774193548387097,frozenset({'vunet'})
0.21774193548387097,"frozenset({'registration', 'amsterdam'})"
0.21774193548387097,"frozenset({'universiteit', 'amsterdam'})"
0.21774193548387097,"frozenset({'amsterdam', 'vrije'})"
0.21774193548387097,"frozenset({'vunet', 'amsterdam'})"
0.06451612903225806,"frozenset({'training', 'learning'})"
0.07258064516129033,"frozenset({'lecture', 'study'})"
0.21774193548387097,"frozenset({'universiteit', 'registration'})"
0.21774193548387097,"frozenset({'registration', 'vrije'})"
0.21774193548387097,"frozenset({'vunet', 'registration'})"
0.08064516129032258,"frozenset({'student', 'teaching'})"
0.21774193548387097,"frozenset({'universiteit', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'vunet'})"
0.21774193548387097,"frozenset({'vunet', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'registration', 'amsterdam'})"
0.21774193548387097,"frozenset({'registration', 'amsterdam', 'vrije'})"
0.21774193548387097,"frozenset({'registration', 'vunet', 'amsterdam'})"
0.21774193548387097,"frozenset({'universiteit', 'amsterdam', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'vunet', 'amsterdam'})"
0.21774193548387097,"frozenset({'vunet', 'amsterdam', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'registration', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'vunet', 'registration'})"
0.21774193548387097,"frozenset({'vunet', 'registration', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'vunet', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'registration', 'amsterdam', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'registration', 'vunet', 'amsterdam'})"
0.21774193548387097,"frozenset({'registration', 'vunet', 'amsterdam', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'vunet', 'amsterdam', 'vrije'})"
0.21774193548387097,"frozenset({'universiteit', 'vunet', 'registration', 'vrije'})"
0.21774193548387097,"frozenset({'registration', 'universiteit', 'vunet', 'amsterdam', 'vrije'})"
