support,itemsets
0.06956521739130435,frozenset({'academic'})
0.10434782608695652,frozenset({'cognitive'})
0.06956521739130435,frozenset({'examination'})
0.10434782608695652,frozenset({'forensic'})
0.05217391304347826,frozenset({'forensics'})
0.09565217391304348,frozenset({'interdisciplinary'})
0.0782608695652174,frozenset({'lecture'})
0.10434782608695652,frozenset({'neuroscience'})
0.05217391304347826,frozenset({'seminar'})
0.06086956521739131,frozenset({'student'})
0.2956521739130435,frozenset({'study'})
0.06086956521739131,frozenset({'sustainability'})
0.06956521739130435,frozenset({'sustainable'})
0.05217391304347826,frozenset({'syllabus'})
0.08695652173913043,"frozenset({'neuroscience', 'cognitive'})"
0.05217391304347826,"frozenset({'sustainable', 'sustainability'})"
