support,itemsets
0.058823529411764705,frozenset({'10'})
0.058823529411764705,frozenset({'11e'})
0.058823529411764705,frozenset({'12e'})
0.5882352941176471,frozenset({'actenl'})
0.058823529411764705,frozenset({'ai'})
0.058823529411764705,frozenset({'data'})
0.058823529411764705,frozenset({'datasets'})
0.058823529411764705,frozenset({'informatics'})
0.6470588235294118,frozenset({'mam'})
0.058823529411764705,frozenset({'medical'})
0.5882352941176471,frozenset({'overview'})
0.058823529411764705,frozenset({'srp'})
0.058823529411764705,"frozenset({'10', 'mam'})"
0.058823529411764705,"frozenset({'mam', '11e'})"
0.058823529411764705,"frozenset({'mam', '12e'})"
0.47058823529411764,"frozenset({'mam', 'actenl'})"
0.5882352941176471,"frozenset({'overview', 'actenl'})"
0.058823529411764705,"frozenset({'data', 'ai'})"
0.058823529411764705,"frozenset({'datasets', 'ai'})"
0.058823529411764705,"frozenset({'informatics', 'ai'})"
0.058823529411764705,"frozenset({'medical', 'ai'})"
0.058823529411764705,"frozenset({'data', 'datasets'})"
0.058823529411764705,"frozenset({'informatics', 'data'})"
0.058823529411764705,"frozenset({'data', 'medical'})"
0.058823529411764705,"frozenset({'informatics', 'datasets'})"
0.058823529411764705,"frozenset({'medical', 'datasets'})"
0.058823529411764705,"frozenset({'informatics', 'medical'})"
0.47058823529411764,"frozenset({'mam', 'overview'})"
0.47058823529411764,"frozenset({'mam', 'overview', 'actenl'})"
0.058823529411764705,"frozenset({'datasets', 'data', 'ai'})"
0.058823529411764705,"frozenset({'informatics', 'data', 'ai'})"
0.058823529411764705,"frozenset({'data', 'medical', 'ai'})"
0.058823529411764705,"frozenset({'informatics', 'datasets', 'ai'})"
0.058823529411764705,"frozenset({'datasets', 'medical', 'ai'})"
0.058823529411764705,"frozenset({'informatics', 'medical', 'ai'})"
0.058823529411764705,"frozenset({'informatics', 'data', 'datasets'})"
0.058823529411764705,"frozenset({'data', 'medical', 'datasets'})"
0.058823529411764705,"frozenset({'informatics', 'data', 'medical'})"
0.058823529411764705,"frozenset({'informatics', 'medical', 'datasets'})"
0.058823529411764705,"frozenset({'informatics', 'datasets', 'data', 'ai'})"
0.058823529411764705,"frozenset({'datasets', 'data', 'medical', 'ai'})"
0.058823529411764705,"frozenset({'informatics', 'data', 'medical', 'ai'})"
0.058823529411764705,"frozenset({'informatics', 'datasets', 'medical', 'ai'})"
0.058823529411764705,"frozenset({'informatics', 'data', 'medical', 'datasets'})"
0.058823529411764705,"frozenset({'medical', 'ai', 'data', 'informatics', 'datasets'})"
