antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'advocate'}),frozenset({'court'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'court'}),frozenset({'advocate'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'advocate'}),frozenset({'pleading'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'pleading'}),frozenset({'advocate'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'advocate'}),frozenset({'practice'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'practice'}),frozenset({'advocate'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'advocate'}),frozenset({'student'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
frozenset({'basic'}),frozenset({'jurisdiction'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'jurisdiction'}),frozenset({'basic'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'basic'}),frozenset({'law'}),0.1,0.5,0.1,1.0,2.0,0.05,inf
frozenset({'basic'}),frozenset({'lecture'}),0.1,0.3,0.1,1.0,3.3333333333333335,0.07,inf
frozenset({'basic'}),frozenset({'teaching'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
frozenset({'brexit'}),frozenset({'disintegration'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'disintegration'}),frozenset({'brexit'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'brexit'}),frozenset({'eu'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
frozenset({'brexit'}),frozenset({'europe'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'europe'}),frozenset({'brexit'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'brexit'}),frozenset({'european'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'european'}),frozenset({'brexit'}),0.1,0.1,0.1,1.0,10.0,0.09,inf
frozenset({'comparative'}),frozenset({'law'}),0.1,0.5,0.1,1.0,2.0,0.05,inf
