antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'learns'}),frozenset({'assessment'}),0.09090909090909091,0.13636363636363635,0.09090909090909091,1.0,7.333333333333334,0.07851239669421488,inf
frozenset({'discipline'}),frozenset({'study'}),0.13636363636363635,0.5,0.13636363636363635,1.0,2.0,0.06818181818181818,inf
frozenset({'discipline'}),frozenset({'violence'}),0.13636363636363635,0.22727272727272727,0.13636363636363635,1.0,4.4,0.10537190082644628,inf
frozenset({'educated'}),frozenset({'education'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
frozenset({'lecturer'}),frozenset({'educational'}),0.09090909090909091,0.2727272727272727,0.09090909090909091,1.0,3.666666666666667,0.06611570247933884,inf
frozenset({'learns'}),frozenset({'teaching'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
frozenset({'lecturer'}),frozenset({'study'}),0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,0.045454545454545456,inf
frozenset({'participate'}),frozenset({'study'}),0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,0.045454545454545456,inf
frozenset({'participate'}),frozenset({'violence'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
frozenset({'sociology'}),frozenset({'study'}),0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,0.045454545454545456,inf
frozenset({'sociology'}),frozenset({'violence'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
frozenset({'violence'}),frozenset({'study'}),0.22727272727272727,0.5,0.22727272727272727,1.0,2.0,0.11363636363636363,inf
"frozenset({'assessment', 'learns'})",frozenset({'teaching'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
"frozenset({'assessment', 'teaching'})",frozenset({'learns'}),0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,11.0,0.08264462809917356,inf
"frozenset({'learns', 'teaching'})",frozenset({'assessment'}),0.09090909090909091,0.13636363636363635,0.09090909090909091,1.0,7.333333333333334,0.07851239669421488,inf
frozenset({'learns'}),"frozenset({'assessment', 'teaching'})",0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,11.0,0.08264462809917356,inf
"frozenset({'violence', 'discipline'})",frozenset({'study'}),0.13636363636363635,0.5,0.13636363636363635,1.0,2.0,0.06818181818181818,inf
"frozenset({'discipline', 'study'})",frozenset({'violence'}),0.13636363636363635,0.22727272727272727,0.13636363636363635,1.0,4.4,0.10537190082644628,inf
frozenset({'discipline'}),"frozenset({'violence', 'study'})",0.13636363636363635,0.22727272727272727,0.13636363636363635,1.0,4.4,0.10537190082644628,inf
"frozenset({'education', 'teaching'})",frozenset({'student'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
"frozenset({'educational', 'lecturer'})",frozenset({'study'}),0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,0.045454545454545456,inf
"frozenset({'study', 'lecturer'})",frozenset({'educational'}),0.09090909090909091,0.2727272727272727,0.09090909090909091,1.0,3.666666666666667,0.06611570247933884,inf
frozenset({'lecturer'}),"frozenset({'educational', 'study'})",0.09090909090909091,0.13636363636363635,0.09090909090909091,1.0,7.333333333333334,0.07851239669421488,inf
"frozenset({'violence', 'participate'})",frozenset({'study'}),0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,0.045454545454545456,inf
"frozenset({'study', 'participate'})",frozenset({'violence'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
frozenset({'participate'}),"frozenset({'violence', 'study'})",0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
"frozenset({'sociology', 'violence'})",frozenset({'study'}),0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,0.045454545454545456,inf
"frozenset({'sociology', 'study'})",frozenset({'violence'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
frozenset({'sociology'}),"frozenset({'violence', 'study'})",0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,0.07024793388429752,inf
