antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'10'}),frozenset({'mam'}),0.058823529411764705,0.6470588235294118,0.058823529411764705,1.0,1.5454545454545454,0.020761245674740483,inf
frozenset({'11e'}),frozenset({'mam'}),0.058823529411764705,0.6470588235294118,0.058823529411764705,1.0,1.5454545454545454,0.020761245674740483,inf
frozenset({'12e'}),frozenset({'mam'}),0.058823529411764705,0.6470588235294118,0.058823529411764705,1.0,1.5454545454545454,0.020761245674740483,inf
frozenset({'mam'}),frozenset({'actenl'}),0.6470588235294118,0.5882352941176471,0.47058823529411764,0.7272727272727272,1.236363636363636,0.08996539792387537,1.509803921568627
frozenset({'actenl'}),frozenset({'mam'}),0.5882352941176471,0.6470588235294118,0.47058823529411764,0.7999999999999999,1.236363636363636,0.08996539792387537,1.7647058823529405
frozenset({'overview'}),frozenset({'actenl'}),0.5882352941176471,0.5882352941176471,0.5882352941176471,1.0,1.7,0.2422145328719723,inf
frozenset({'actenl'}),frozenset({'overview'}),0.5882352941176471,0.5882352941176471,0.5882352941176471,1.0,1.7,0.2422145328719723,inf
frozenset({'data'}),frozenset({'ai'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'ai'}),frozenset({'data'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'datasets'}),frozenset({'ai'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'ai'}),frozenset({'datasets'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'informatics'}),frozenset({'ai'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'ai'}),frozenset({'informatics'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
frozenset({'medical'}),frozenset({'ai'}),0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,17.0,0.05536332179930796,inf
