antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'academic'}),frozenset({'student'}),0.06802721088435375,0.2653061224489796,0.05442176870748299,0.7999999999999999,3.015384615384615,0.036373733166736075,3.6734693877551003
frozenset({'academic'}),frozenset({'study'}),0.06802721088435375,0.8231292517006803,0.05442176870748299,0.7999999999999999,0.9719008264462808,-0.0015734184830394835,0.8843537414965982
frozenset({'assessment'}),frozenset({'study'}),0.05442176870748299,0.8231292517006803,0.05442176870748299,1.0,1.2148760330578512,0.009625618955065016,inf
frozenset({'examination'}),frozenset({'study'}),0.09523809523809523,0.8231292517006803,0.08163265306122448,0.8571428571428571,1.0413223140495866,0.0032393909944930244,1.2380952380952375
frozenset({'supervision'}),frozenset({'internship'}),0.08843537414965986,0.10884353741496598,0.08163265306122448,0.923076923076923,8.48076923076923,0.07200703410615947,11.585034013605434
frozenset({'internship'}),frozenset({'supervision'}),0.10884353741496598,0.08843537414965986,0.08163265306122448,0.75,8.48076923076923,0.07200703410615947,3.6462585034013606
frozenset({'supervisor'}),frozenset({'internship'}),0.05442176870748299,0.10884353741496598,0.05442176870748299,1.0,9.1875,0.04849831088898144,inf
frozenset({'lecture'}),frozenset({'study'}),0.17687074829931973,0.8231292517006803,0.14965986394557823,0.8461538461538461,1.027972027972028,0.004072377250219805,1.149659863945578
frozenset({'practice'}),frozenset({'study'}),0.08163265306122448,0.8231292517006803,0.07482993197278912,0.9166666666666667,1.1136363636363638,0.007635707344162163,2.122448979591838
frozenset({'programming'}),frozenset({'study'}),0.06802721088435375,0.8231292517006803,0.05442176870748299,0.7999999999999999,0.9719008264462808,-0.0015734184830394835,0.8843537414965982
frozenset({'psychology'}),frozenset({'study'}),0.20408163265306123,0.8231292517006803,0.1836734693877551,0.9,1.0933884297520662,0.0156879078161877,1.7687074829931975
frozenset({'research'}),frozenset({'study'}),0.1836734693877551,0.8231292517006803,0.17687074829931973,0.9629629629629629,1.1698806244260789,0.025683742884909044,4.775510204081625
frozenset({'thesis'}),frozenset({'research'}),0.1360544217687075,0.1836734693877551,0.10204081632653061,0.75,4.083333333333333,0.07705122865472719,3.2653061224489797
frozenset({'student'}),frozenset({'study'}),0.2653061224489796,0.8231292517006803,0.23809523809523808,0.8974358974358974,1.0902733630006356,0.019714008052200443,1.7244897959183658
frozenset({'thesis'}),frozenset({'student'}),0.1360544217687075,0.2653061224489796,0.11564625850340136,0.85,3.2038461538461536,0.07955018742190753,4.897959183673469
frozenset({'supervision'}),frozenset({'study'}),0.08843537414965986,0.8231292517006803,0.06802721088435375,0.7692307692307693,0.9345200254291164,-0.004766532463325465,0.7664399092970522
frozenset({'teaching'}),frozenset({'study'}),0.08843537414965986,0.8231292517006803,0.08163265306122448,0.923076923076923,1.1214240305149394,0.00883890971354527,2.299319727891154
frozenset({'thesis'}),frozenset({'study'}),0.1360544217687075,0.8231292517006803,0.1360544217687075,1.0,1.2148760330578512,0.024064047387662546,inf
frozenset({'supervisor'}),frozenset({'supervision'}),0.05442176870748299,0.08843537414965986,0.05442176870748299,1.0,11.307692307692308,0.04960895922995048,inf
"frozenset({'supervision', 'internship'})",frozenset({'study'}),0.08163265306122448,0.8231292517006803,0.061224489795918366,0.75,0.9111570247933884,-0.005969734832708587,0.7074829931972788
"frozenset({'supervision', 'study'})",frozenset({'internship'}),0.06802721088435375,0.10884353741496598,0.061224489795918366,0.8999999999999999,8.268749999999999,0.05382016752279143,8.911564625850332
"frozenset({'internship', 'study'})",frozenset({'supervision'}),0.061224489795918366,0.08843537414965986,0.061224489795918366,1.0,11.307692307692308,0.05581007913369429,inf
"frozenset({'supervision', 'supervisor'})",frozenset({'internship'}),0.05442176870748299,0.10884353741496598,0.05442176870748299,1.0,9.1875,0.04849831088898144,inf
"frozenset({'internship', 'supervisor'})",frozenset({'supervision'}),0.05442176870748299,0.08843537414965986,0.05442176870748299,1.0,11.307692307692308,0.04960895922995048,inf
frozenset({'supervisor'}),"frozenset({'supervision', 'internship'})",0.05442176870748299,0.08163265306122448,0.05442176870748299,1.0,12.250000000000002,0.04997917534360683,inf
"frozenset({'student', 'research'})",frozenset({'study'}),0.09523809523809523,0.8231292517006803,0.08843537414965986,0.9285714285714286,1.128099173553719,0.010042112082928406,2.4761904761904767
"frozenset({'student', 'thesis'})",frozenset({'research'}),0.11564625850340136,0.1836734693877551,0.08843537414965986,0.7647058823529411,4.163398692810457,0.06719422462862695,3.4693877551020402
"frozenset({'student', 'research'})",frozenset({'thesis'}),0.09523809523809523,0.1360544217687075,0.08843537414965986,0.9285714285714286,6.824999999999999,0.07547781017168773,12.0952380952381
"frozenset({'thesis', 'research'})",frozenset({'student'}),0.10204081632653061,0.2653061224489796,0.08843537414965986,0.8666666666666667,3.2666666666666666,0.0613633208385395,5.510204081632653
"frozenset({'thesis', 'study'})",frozenset({'research'}),0.1360544217687075,0.1836734693877551,0.10204081632653061,0.75,4.083333333333333,0.07705122865472719,3.2653061224489797
"frozenset({'thesis', 'research'})",frozenset({'study'}),0.10204081632653061,0.8231292517006803,0.10204081632653061,1.0,1.2148760330578512,0.01804803554074691,inf
frozenset({'thesis'}),"frozenset({'research', 'study'})",0.1360544217687075,0.17687074829931973,0.10204081632653061,0.75,4.240384615384615,0.07797676893886807,3.292517006802721
"frozenset({'student', 'thesis'})",frozenset({'study'}),0.11564625850340136,0.8231292517006803,0.11564625850340136,1.0,1.2148760330578512,0.020454440279513167,inf
"frozenset({'thesis', 'study'})",frozenset({'student'}),0.1360544217687075,0.2653061224489796,0.11564625850340136,0.85,3.2038461538461536,0.07955018742190753,4.897959183673469
frozenset({'thesis'}),"frozenset({'student', 'study'})",0.1360544217687075,0.23809523809523808,0.11564625850340136,0.85,3.5700000000000003,0.08325234855847101,5.079365079365078
"frozenset({'student', 'thesis', 'study'})",frozenset({'research'}),0.11564625850340136,0.1836734693877551,0.08843537414965986,0.7647058823529411,4.163398692810457,0.06719422462862695,3.4693877551020402
"frozenset({'student', 'research', 'study'})",frozenset({'thesis'}),0.08843537414965986,0.1360544217687075,0.08843537414965986,1.0,7.35,0.07640335045582859,inf
"frozenset({'research', 'thesis', 'study'})",frozenset({'student'}),0.10204081632653061,0.2653061224489796,0.08843537414965986,0.8666666666666667,3.2666666666666666,0.0613633208385395,5.510204081632653
"frozenset({'student', 'thesis', 'research'})",frozenset({'study'}),0.08843537414965986,0.8231292517006803,0.08843537414965986,1.0,1.2148760330578512,0.015641630801980652,inf
"frozenset({'student', 'thesis'})","frozenset({'research', 'study'})",0.11564625850340136,0.17687074829931973,0.08843537414965986,0.7647058823529411,4.323529411764706,0.0679809338701467,3.4982993197278907
"frozenset({'student', 'research'})","frozenset({'thesis', 'study'})",0.09523809523809523,0.1360544217687075,0.08843537414965986,0.9285714285714286,6.824999999999999,0.07547781017168773,12.0952380952381
"frozenset({'thesis', 'research'})","frozenset({'student', 'study'})",0.10204081632653061,0.23809523809523808,0.08843537414965986,0.8666666666666667,3.64,0.0641399416909621,5.714285714285715
